Best parameters,Validation MSE,Test MSE,Model,Run
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP4nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY5
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY5
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY5
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY5nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY5nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY5nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP5
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP5
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP5
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP5nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP5nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP5nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY6
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY6
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY6
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY6nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY6nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY6nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP6
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP6
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP6
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP6nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP6nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP6nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY7
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY7
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY7
